Id;Namn;Ägare;Nät;Latitud;Longitud;Höjd (m);Från;Till;Aktiv;Mobil;Vattendrag;Vattendragsnr;Area (km²)
125470;Bensjö;SMHI;SMHIs stationsnät;62,7139;15,4667;310;1950-09-01;1952-09-01;Nej;Nej;undefined;NaN;NaN
74080;Berg;SMHI;SMHIs stationsnät;57,1208;14,6906;243,272;1969-07-01;2024-03-01;Nej;Nej;undefined;NaN;NaN
98040;Berga;Försvarsmakten;SMHIs stationsnät;59,0680;18,1150;4,3;1952-11-01;2026-02-10;Ja;Ja;undefined;NaN;NaN
98610;Berga;SMHI;SMHIs stationsnät;59,0833;18,1166;15;1945-01-01;1969-02-01;Nej;Nej;undefined;NaN;NaN
25099;Bergfors2;SMHI;Övriga stationer;68,1482;19,7819;0;2025-08-14;2025-12-01;Nej;Nej;undefined;NaN;NaN
96610;Bie;SMHI;SMHIs stationsnät;59,0830;16,2135;21;1945-01-01;1957-02-01;Nej;Nej;undefined;NaN;NaN
136020;Bispgården;SMHI;SMHIs stationsnät;63,0509;16,5358;190;1945-01-01;1988-07-01;Nej;Nej;undefined;NaN;NaN
106080;Bjurfors;SMHI;SMHIs stationsnät;60,1316;16,1282;125;1949-06-01;1970-09-01;Nej;Nej;undefined;NaN;NaN
116650;Bjuråker;SMHI;SMHIs stationsnät;61,8500;16,5833;66;1879-10-01;1967-01-01;Nej;Nej;undefined;NaN;NaN
151290;Bjuröklubb;SMHI;SMHIs stationsnät;64,4806;21,5787;36;1879-10-01;1998-01-01;Nej;Nej;undefined;NaN;NaN
151280;Bjuröklubb A;SMHI;SMHIs stationsnät;64,4799;21,5754;35,41;1995-12-15;2026-02-10;Ja;Ja;undefined;NaN;NaN
85160;Bjärka-Säby;SMHI;SMHIs stationsnät;58,2662;15,7431;100;1945-01-01;1984-04-01;Nej;Nej;undefined;NaN;NaN
53650;Björka;SMHI;SMHIs stationsnät;55,7000;13,6333;32;1949-01-01;1970-06-01;Nej;Nej;undefined;NaN;NaN
